"name","url","status","words"
"Google","https://status.cloud.google.com/incident/compute/17003#5660850647990272","ok",1512
"Google","https://status.cloud.google.com/incidents/eo76pxZiDgWVz4z3kmUv","ok",1174
"incident.io","https://incident.io/blog/one-two-skip-a-few","ok",1681
"Knight Capital","https://dougseven.com/2014/04/17/knightmare-a-devops-cautionary-tale/","ok",7945
"longer write-up","https://www.henricodolfing.com/2019/06/project-failure-case-study-knight-capital.html","failed",0
"WebKit code repository","https://web.archive.org/web/20210306015541/https://digital.ai/catalyst-blog/subversion-sha1-collision-problem-statement-prevention-and-remediation-options","ok",2317
"Azure","https://azure.microsoft.com/en-us/blog/summary-of-windows-azure-service-disruption-on-feb-29th-2012/","ok",3177
"Cloudflare","https://web.archive.org/web/20211104160742/https://blog.cloudflare.com/how-and-why-the-leap-second-affected-cloudflare-dns/","ok",1307
"the 27th leap second on 2016-12-31T23:59:60Z","https://hpiers.obspm.fr/iers/bul/bulc/bulletinc.52","failed",0
"Linux","https://web.archive.org/web/20220427012208/https://lkml.org/lkml/2009/1/2/373","ok",528
"Linux","https://web.archive.org/web/20220320100036/https://lkml.org/lkml/2012/7/1/203","ok",666
